ID del Producto,Grado del Producto,Nombre Común,Nombre científico,Rubro,Región geográfica,Carpeta REGION Cloudinary,Categoría (por zona),Segmento Cloudinary,Región (código / FK),Orden,Familia,Subfamilia,Género,Especie,Subespecie,Color,Sexo / Tipo,Calidad (variante),País,Expedición / Ubicación,Localidad GPS,Precio regular,Precio mayor,Disponibilidad / Stock,Mín. mayorista (ud.),Divisa,Dimensiones / envergadura,Peso (g)
NEO-1001,A.1,,Brassolis sophorae,Especímenes secos biológicos,REGION Central South America Neotropical,specimens.neotropical,Butterflies(lepidoptera) Diurne,specimens.butterflies,SAM-NEO,Lepidoptera,Nymphalidae,Morphinae,Brassolis,sophorae,,,Male ♂,A.1,Perú,,,0.0,0.0,0,1,USD,,
NEO-1002,A.1,,Caligo atisbe,Especímenes secos biológicos,REGION Central South America Neotropical,specimens.neotropical,Butterflies(lepidoptera) Diurne,specimens.butterflies,SAM-NEO,Lepidoptera,Nymphalidae,Morphinae,Caligo,atisbe,,,Male ♂,A.1,Perú,,,0.0,0.0,0,1,USD,,
NEO-1003,A.1,,Caligo atreus,Especímenes secos biológicos,REGION Central South America Neotropical,specimens.neotropical,Butterflies(lepidoptera) Diurne,specimens.butterflies,SAM-NEO,Lepidoptera,Nymphalidae,Morphinae,Caligo,atreus,,,Male ♂,A.1,Perú,,,0.0,0.0,0,1,USD,,
NEO-1004,A.1,,Caligo atreus agesilaus,Especímenes secos biológicos,REGION Central South America Neotropical,specimens.neotropical,Butterflies(lepidoptera) Diurne,specimens.butterflies,SAM-NEO,Lepidoptera,Nymphalidae,Morphinae,Caligo,atreus,agesilaus,,Male ♂,A.1,Perú,,,0.0,0.0,0,1,USD,,
NEO-1005,A.1,,Caligo atreus ajax,Especímenes secos biológicos,REGION Central South America Neotropical,specimens.neotropical,Butterflies(lepidoptera) Diurne,specimens.butterflies,SAM-NEO,Lepidoptera,Nymphalidae,Morphinae,Caligo,atreus,ajax,,Male ♂,A.1,Perú,,,0.0,0.0,0,1,USD,,
NEO-1006,A.1,,Caligo beltrao,Especímenes secos biológicos,REGION Central South America Neotropical,specimens.neotropical,Butterflies(lepidoptera) Diurne,specimens.butterflies,SAM-NEO,Lepidoptera,Nymphalidae,Morphinae,Caligo,beltrao,,,Male ♂,A.1,Perú,,,0.0,0.0,0,1,USD,,
NEO-1007,A.1,,Caligo brasilensis,Especímenes secos biológicos,REGION Central South America Neotropical,specimens.neotropical,Butterflies(lepidoptera) Diurne,specimens.butterflies,SAM-NEO,Lepidoptera,Nymphalidae,Morphinae,Caligo,brasilensis,,,Male ♂,A.1,Perú,,,0.0,0.0,0,1,USD,,
NEO-1008,A.1,,Caligo eurilochus livius,Especímenes secos biológicos,REGION Central South America Neotropical,specimens.neotropical,Butterflies(lepidoptera) Diurne,specimens.butterflies,SAM-NEO,Lepidoptera,Nymphalidae,Morphinae,Caligo,eurilochus,livius,,Male ♂,A.1,Perú,,,0.0,0.0,0,1,USD,,
NEO-1009,A.1,,Caligo eurilochus livius solanus,Especímenes secos biológicos,REGION Central South America Neotropical,specimens.neotropical,Butterflies(lepidoptera) Diurne,specimens.butterflies,SAM-NEO,Lepidoptera,Nymphalidae,Morphinae,Caligo,eurilochus,livius solanus,,Male ♂,A.1,Perú,,,0.0,0.0,0,1,USD,,
NEO-1010,A.1,,Caligo idomeneus indomenides,Especímenes secos biológicos,REGION Central South America Neotropical,specimens.neotropical,Butterflies(lepidoptera) Diurne,specimens.butterflies,SAM-NEO,Lepidoptera,Nymphalidae,Morphinae,Caligo,idomeneus,indomenides,,Male ♂,A.1,Perú,,,0.0,0.0,0,1,USD,,
NEO-1011,A.1,,Caligo idomenius idomenides,Especímenes secos biológicos,REGION Central South America Neotropical,specimens.neotropical,Butterflies(lepidoptera) Diurne,specimens.butterflies,SAM-NEO,Lepidoptera,Nymphalidae,Morphinae,Caligo,idomenius,idomenides,,Male ♂,A.1,Perú,,,0.0,0.0,0,1,USD,,
NEO-1012,A.1,,Caligo ilioneus,Especímenes secos biológicos,REGION Central South America Neotropical,specimens.neotropical,Butterflies(lepidoptera) Diurne,specimens.butterflies,SAM-NEO,Lepidoptera,Nymphalidae,Morphinae,Caligo,ilioneus,,,Male ♂,A.1,Perú,,,0.0,0.0,0,1,USD,,
NEO-1013,A.1,,Caligo ilioneus oberon,Especímenes secos biológicos,REGION Central South America Neotropical,specimens.neotropical,Butterflies(lepidoptera) Diurne,specimens.butterflies,SAM-NEO,Lepidoptera,Nymphalidae,Morphinae,Caligo,ilioneus,oberon,,Male ♂,A.1,Perú,,,0.0,0.0,0,1,USD,,
NEO-1014,A.1,,Caligo ilioneus praxiodus,Especímenes secos biológicos,REGION Central South America Neotropical,specimens.neotropical,Butterflies(lepidoptera) Diurne,specimens.butterflies,SAM-NEO,Lepidoptera,Nymphalidae,Morphinae,Caligo,ilioneus,praxiodus,,Male ♂,A.1,Perú,,,0.0,0.0,0,1,USD,,
NEO-1015,A.1,,Caligo indomenides indmeneous,Especímenes secos biológicos,REGION Central South America Neotropical,specimens.neotropical,Butterflies(lepidoptera) Diurne,specimens.butterflies,SAM-NEO,Lepidoptera,Nymphalidae,Morphinae,Caligo,indomenides,indmeneous,,Male ♂,A.1,Perú,,,0.0,0.0,0,1,USD,,
NEO-1016,A.1,,Caligo martia,Especímenes secos biológicos,REGION Central South America Neotropical,specimens.neotropical,Butterflies(lepidoptera) Diurne,specimens.butterflies,SAM-NEO,Lepidoptera,Nymphalidae,Morphinae,Caligo,martia,,,Male ♂,A.1,Perú,,,0.0,0.0,0,1,USD,,
NEO-1017,A.1,,Caligo memnon,Especímenes secos biológicos,REGION Central South America Neotropical,specimens.neotropical,Butterflies(lepidoptera) Diurne,specimens.butterflies,SAM-NEO,Lepidoptera,Nymphalidae,Morphinae,Caligo,memnon,,,Male ♂,A.1,Perú,,,0.0,0.0,0,1,USD,,
NEO-1018,A.1,,Caligo oberthuri phokylides,Especímenes secos biológicos,REGION Central South America Neotropical,specimens.neotropical,Butterflies(lepidoptera) Diurne,specimens.butterflies,SAM-NEO,Lepidoptera,Nymphalidae,Morphinae,Caligo,oberthuri,phokylides,,Male ♂,A.1,Perú,,,0.0,0.0,0,1,USD,,
NEO-1019,A.1,,Caligo oileus umbratilis,Especímenes secos biológicos,REGION Central South America Neotropical,specimens.neotropical,Butterflies(lepidoptera) Diurne,specimens.butterflies,SAM-NEO,Lepidoptera,Nymphalidae,Morphinae,Caligo,oileus,umbratilis,,Male ♂,A.1,Perú,,,0.0,0.0,0,1,USD,,
NEO-1020,A.1,,Caligo placidianus placidianus,Especímenes secos biológicos,REGION Central South America Neotropical,specimens.neotropical,Butterflies(lepidoptera) Diurne,specimens.butterflies,SAM-NEO,Lepidoptera,Nymphalidae,Morphinae,Caligo,placidianus,placidianus,,Male ♂,A.1,Perú,,,0.0,0.0,0,1,USD,,
NEO-1021,A.1,,Caligo prometheus atlas,Especímenes secos biológicos,REGION Central South America Neotropical,specimens.neotropical,Butterflies(lepidoptera) Diurne,specimens.butterflies,SAM-NEO,Lepidoptera,Nymphalidae,Morphinae,Caligo,prometheus,atlas,,Male ♂,A.1,Perú,,,0.0,0.0,0,1,USD,,
NEO-1022,A.1,,Caligo prometheus prometheus,Especímenes secos biológicos,REGION Central South America Neotropical,specimens.neotropical,Butterflies(lepidoptera) Diurne,specimens.butterflies,SAM-NEO,Lepidoptera,Nymphalidae,Morphinae,Caligo,prometheus,prometheus,,Male ♂,A.1,Perú,,,0.0,0.0,0,1,USD,,
NEO-1023,A.1,,Caligo superbus superbus,Especímenes secos biológicos,REGION Central South America Neotropical,specimens.neotropical,Butterflies(lepidoptera) Diurne,specimens.butterflies,SAM-NEO,Lepidoptera,Nymphalidae,Morphinae,Caligo,superbus,superbus,,Male ♂,A.1,Perú,,,0.0,0.0,0,1,USD,,
NEO-1024,A.1,,Caligo suzanna zuzana,Especímenes secos biológicos,REGION Central South America Neotropical,specimens.neotropical,Butterflies(lepidoptera) Diurne,specimens.butterflies,SAM-NEO,Lepidoptera,Nymphalidae,Morphinae,Caligo,suzanna,zuzana,,Male ♂,A.1,Perú,,,0.0,0.0,0,1,USD,,
NEO-1025,A.1,,Caligo telamonius memnon,Especímenes secos biológicos,REGION Central South America Neotropical,specimens.neotropical,Butterflies(lepidoptera) Diurne,specimens.butterflies,SAM-NEO,Lepidoptera,Nymphalidae,Morphinae,Caligo,telamonius,memnon,,Male ♂,A.1,Perú,,,0.0,0.0,0,1,USD,,
NEO-1026,A.1,,Caligo teucer semicarahuela,Especímenes secos biológicos,REGION Central South America Neotropical,specimens.neotropical,Butterflies(lepidoptera) Diurne,specimens.butterflies,SAM-NEO,Lepidoptera,Nymphalidae,Morphinae,Caligo,teucer,semicarahuela,,Male ♂,A.1,Perú,,,0.0,0.0,0,1,USD,,
NEO-1027,A.1,,Caligo uranus,Especímenes secos biológicos,REGION Central South America Neotropical,specimens.neotropical,Butterflies(lepidoptera) Diurne,specimens.butterflies,SAM-NEO,Lepidoptera,Nymphalidae,Morphinae,Caligo,uranus,,,Male ♂,A.1,Perú,,,0.0,0.0,0,1,USD,,
NEO-1028,A.1,,Catoblepia berecynthia,Especímenes secos biológicos,REGION Central South America Neotropical,specimens.neotropical,Butterflies(lepidoptera) Diurne,specimens.butterflies,SAM-NEO,Lepidoptera,Nymphalidae,Morphinae,Catoblepia,berecynthia,,,Male ♂,A.1,Perú,,,0.0,0.0,0,1,USD,,
NEO-1029,A.1,,Catoblepia generosa,Especímenes secos biológicos,REGION Central South America Neotropical,specimens.neotropical,Butterflies(lepidoptera) Diurne,specimens.butterflies,SAM-NEO,Lepidoptera,Nymphalidae,Morphinae,Catoblepia,generosa,,,Male ♂,A.1,Perú,,,0.0,0.0,0,1,USD,,
NEO-1030,A.1,,Catoblepia xanthus,Especímenes secos biológicos,REGION Central South America Neotropical,specimens.neotropical,Butterflies(lepidoptera) Diurne,specimens.butterflies,SAM-NEO,Lepidoptera,Nymphalidae,Morphinae,Catoblepia,xanthus,,,Male ♂,A.1,Perú,,,0.0,0.0,0,1,USD,,
NEO-1031,A.1,,Dynastor darius darius,Especímenes secos biológicos,REGION Central South America Neotropical,specimens.neotropical,Butterflies(lepidoptera) Diurne,specimens.butterflies,SAM-NEO,Lepidoptera,Nymphalidae,Morphinae,Dynastor,darius,darius,,Male ♂,A.1,Perú,,,0.0,0.0,0,1,USD,,
NEO-1032,A.1,,Dynastor macrosirus estrix,Especímenes secos biológicos,REGION Central South America Neotropical,specimens.neotropical,Butterflies(lepidoptera) Diurne,specimens.butterflies,SAM-NEO,Lepidoptera,Nymphalidae,Morphinae,Dynastor,macrosirus,estrix,,Male ♂,A.1,Perú,,,0.0,0.0,0,1,USD,,
NEO-1033,A.1,,Eryphanes lycomedon,Especímenes secos biológicos,REGION Central South America Neotropical,specimens.neotropical,Butterflies(lepidoptera) Diurne,specimens.butterflies,SAM-NEO,Lepidoptera,Nymphalidae,Morphinae,Eryphanes,lycomedon,,,Male ♂,A.1,Perú,,,0.0,0.0,0,1,USD,,
NEO-1034,A.1,,Narope cyllabarus,Especímenes secos biológicos,REGION Central South America Neotropical,specimens.neotropical,Butterflies(lepidoptera) Diurne,specimens.butterflies,SAM-NEO,Lepidoptera,Nymphalidae,Morphinae,Narope,cyllabarus,,,Male ♂,A.1,Perú,,,0.0,0.0,0,1,USD,,
NEO-1035,A.1,,Narope sp,Especímenes secos biológicos,REGION Central South America Neotropical,specimens.neotropical,Butterflies(lepidoptera) Diurne,specimens.butterflies,SAM-NEO,Lepidoptera,Nymphalidae,Morphinae,Narope,sp,,,Male ♂,A.1,Perú,,,0.0,0.0,0,1,USD,,
NEO-1036,A.1,,Opoptera aorsa,Especímenes secos biológicos,REGION Central South America Neotropical,specimens.neotropical,Butterflies(lepidoptera) Diurne,specimens.butterflies,SAM-NEO,Lepidoptera,Nymphalidae,Morphinae,Opoptera,aorsa,,,Male ♂,A.1,Perú,,,0.0,0.0,0,1,USD,,
NEO-1037,A.1,,Opoptera arssipe,Especímenes secos biológicos,REGION Central South America Neotropical,specimens.neotropical,Butterflies(lepidoptera) Diurne,specimens.butterflies,SAM-NEO,Lepidoptera,Nymphalidae,Morphinae,Opoptera,arssipe,,,Male ♂,A.1,Perú,,,0.0,0.0,0,1,USD,,
NEO-1038,A.1,,Opsiphanes bogatanus,Especímenes secos biológicos,REGION Central South America Neotropical,specimens.neotropical,Butterflies(lepidoptera) Diurne,specimens.butterflies,SAM-NEO,Lepidoptera,Nymphalidae,Morphinae,Opsiphanes,bogatanus,,,Male ♂,A.1,Perú,,,0.0,0.0,0,1,USD,,
NEO-1039,A.1,,Opsiphanes invirae agasthenes,Especímenes secos biológicos,REGION Central South America Neotropical,specimens.neotropical,Butterflies(lepidoptera) Diurne,specimens.butterflies,SAM-NEO,Lepidoptera,Nymphalidae,Morphinae,Opsiphanes,invirae,agasthenes,,Male ♂,A.1,Perú,,,0.0,0.0,0,1,USD,,
