familia,species_name,genero,especie,locality,quality,size_range,sex,price
Castnia,Castnia cronis,Castnia,cronis,Peru,A1/A1-,6.0 cm,M,20.00
Castnia,Castnia cronis,Castnia,cronis,Peru,A1,7-8.0 cm,F,30.00
Castnia,Castnia cronis,Castnia,cronis,Peru,A1/A1-,7-8.0 cm,F,20.00
Castnia,Castnia evalthiodes,Castnia,evalthiodes,Peru,A1/A1-,6-7.0 cm,M or F,10.00
Castnia,Castnia hegemon,Castnia,hegemon,Peru,A1,8.0 cm,M or F,20.00
Castnia,Castnia hegemon,Castnia,hegemon,Peru,A1/A1-,6.0 cm,M,10.00
Castnia,Castnia licus,Castnia,licus,Peru,A1/A1-,6-8.0 cm,M or F,3.00
Castnia,Castnia psittachus,Castnia,psittachus,Chile,A1,8-10.0 cm,M,30.00
Castnia,Castnia staudingeri,Castnia,staudingeri,Peru,A1,6-8.0 cm,M,25.00
Castnia,Castnia superba,Castnia,superba,Peru,A1,8-9.0 cm,M or F,25.00
Castnia,Castnia superba,Castnia,superba,Peru,A1/A1-,8-9.0 cm,M or F,15.00
Castnia,Microcastnia pyrrhopygoides,Microcastnia,pyrrhopygoides,Peru,A1,4-4.5 cm,F,25.00
Castnia,Microcastnia pyrrhopygoides,Microcastnia,pyrrhopygoides,Peru,A1,4-4.5 cm,M,30.00
Castnia,Microcastnia pyrrhopygoides,Microcastnia,pyrrhopygoides,Peru,VGA2,4-4.5 cm,P,10.00
Castnia,Microcastnia pyrrhopygoides,Microcastnia,pyrrhopygoides,Peru,A1/A1-,4-4.5 cm,M,20.00
Castnia,Microcastnia pyrrhopygoides,Microcastnia,pyrrhopygoides,Peru,A1/A1-,4-4.5 cm,Female,80.00
