familia,species_name,genero,especie,locality
Chrysomelidae,Agenysa boliviana,Agenysa,boliviana,Neotropical
Chrysomelidae,Agenysa caedemadens,Agenysa,caedemadens,Neotropical
Chrysomelidae,Agenysa parellina,Agenysa,parellina,Neotropical
Chrysomelidae,Agenysa peruviana,Agenysa,peruviana,Neotropical
Chrysomelidae,Charidotella sexpunctata,Charidotella,sexpunctata,Neotropical
Chrysomelidae,Chelymorpha peruana,Chelymorpha,peruana,Neotropical
Chrysomelidae,Chlamisinae gen. sp,Chlamisinae,gen. sp,Neotropical
Chrysomelidae,Chrysochus auratus,Chrysochus,auratus,Neotropical
Chrysomelidae,Chrysolina coerulans,Chrysolina,coerulans,Neotropical
Chrysomelidae,Cycloneda sp.,Cycloneda,sp.,Neotropical
Chrysomelidae,Cyrtonota serinus,Cyrtonota,serinus,Neotropical
Chrysomelidae,Discomorpha instabilis,Discomorpha,instabilis,Neotropical
Chrysomelidae,Dorynota boliviana,Dorynota,boliviana,Neotropical
Chrysomelidae,Ellipticus dorbignyi,Ellipticus,dorbignyi,Neotropical
Chrysomelidae,Erotylus giganteus,Erotylus,giganteus,Neotropical
Chrysomelidae,Erotylus incomparabilis,Erotylus,incomparabilis,Neotropical
Chrysomelidae,Eugenysa colossa,Eugenysa,colossa,Neotropical
Chrysomelidae,Eugenysa cuprifulgens,Eugenysa,cuprifulgens,Neotropical
Chrysomelidae,Eugenysa lata,Eugenysa,lata,Neotropical
Chrysomelidae,Omaspides erichson,Omaspides,erichson,Neotropical
Chrysomelidae,Omaspides trichroa,Omaspides,trichroa,Neotropical
Chrysomelidae,Osmecerus casta,Osmecerus,casta,Neotropical
Chrysomelidae,Promecosoma inflatum,Promecosoma,inflatum,Neotropical
Chrysomelidae,Scaphidomorphus bosci,Scaphidomorphus,bosci,Neotropical
Chrysomelidae,Stolas atayalensis,Stolas,atayalensis,Neotropical
Chrysomelidae,Stolas funebris,Stolas,funebris,Neotropical
Chrysomelidae,Stolas hypocrita,Stolas,hypocrita,Neotropical
Chrysomelidae,Xanthonia sp.,Xanthonia,sp.,Neotropical
