familia,subfamilia,genero,species_name,locality
Cicindelidae,Cicindelini,Calyptoglossa,Calyptoglossa sp.,Peru
Cicindelidae,Cicindelini,Cenothyla,Cenothyla sp.,Peru
Cicindelidae,Cicindelini,Odontocheila,Odontocheila sp.,Peru
Cicindelidae,Cicindelini,Pentacomia,Pentacomia sp.,Peru
Cicindelidae,Cicindelini,Pometon,Pometon sp.,Peru
Cicindelidae,Cicindelini,Oxygonia,Oxygonia sp.,Peru
Cicindelidae,Cicindelini,Cheilonycha,Cheilonycha sp.,Peru
Cicindelidae,Cicindelini,Physodeutera,Physodeutera sp.,Peru
Cicindelidae,Cicindelini,Peridexia,Peridexia sp.,Peru
Cicindelidae,Cicindelini,Cicindela,Cicindela sp.,Peru
Cicindelidae,Megacephalini,Megacephala,Megacephala sp.,Peru
Cicindelidae,Megacephalini,Tetracha,Tetracha sp.,Peru
Cicindelidae,Megacephalini,Phaeoxantha,Phaeoxantha sp.,Peru
Cicindelidae,Megacephalini,Metriocheila,Metriocheila sp.,Peru
Cicindelidae,Megacephalini,Pseudoxycheila,Pseudoxycheila sp.,Peru
Cicindelidae,Megacephalini,Oxycheila,Oxycheila sp.,Peru
Cicindelidae,Megacephalini,Omus,Omus sp.,Peru
Cicindelidae,Megacephalini,Amblycheila,Amblycheila sp.,Peru
Cicindelidae,Megacephalini,Picnochile,Picnochile sp.,Peru
Cicindelidae,Ctenostomatini,Pogonostoma,Pogonostoma sp.,Peru
Cicindelidae,Collyrini,Neocollyris,Neocollyris sp.,Peru
