familia,species_name,genero,especie,locality
Buprestidae,Actenodes nobilis peruanicus,Actenodes,nobilis peruanicus,Neotropical
Buprestidae,Agrilus guttifer,Agrilus,guttifer,Neotropical
Buprestidae,Chrysobothris banghaasi,Chrysobothris,banghaasi,Neotropical
Buprestidae,Chrysobothris sp.,Chrysobothris,sp.,Neotropical
Buprestidae,Chrysodema smaragdula,Chrysodema,smaragdula,Neotropical
Buprestidae,Colobogaster diviana,Colobogaster,diviana,Neotropical
Buprestidae,Colobogaster weyrauchi,Colobogaster,weyrauchi,Neotropical
Buprestidae,Euchroma gigantea,Euchroma,gigantea,Neotropical
Buprestidae,Eupodalecia manaosensis,Eupodalecia,manaosensis,Neotropical
Buprestidae,Halecia cognata,Halecia,cognata,Neotropical
Buprestidae,Hedwigiella hyacinthina,Hedwigiella,hyacinthina,Neotropical
Buprestidae,Pelecopselaphus blandus,Pelecopselaphus,blandus,Neotropical
Buprestidae,Pelecopselaphus depressus,Pelecopselaphus,depressus,Neotropical
Cerambycidae,Acrocinus longemanus,Acrocinus,longemanus,Neotropical
Cerambycidae,Anisocerus stellatus,Anisocerus,stellatus,Neotropical
Cerambycidae,Ctenoscelis ater,Ctenoscelis,ater,Neotropical
Cerambycidae,Ialyssus tuberculatus,Ialyssus,tuberculatus,Neotropical
Cerambycidae,Macrodontia cerviconis,Macrodontia,cerviconis,Neotropical
Cerambycidae,Macrodontia crenata,Macrodontia,crenata,Neotropical
Cerambycidae,Macrodontia itayensis,Macrodontia,itayensis,Neotropical
Cerambycidae,Mallaspis nitida,Mallaspis,nitida,Neotropical
Cerambycidae,Mallaspis scutellaris,Mallaspis,scutellaris,Neotropical
Cerambycidae,Onychocerus scorpio,Onychocerus,scorpio,Neotropical
Cerambycidae,Prionocalus woitkowskii,Prionocalus,woitkowskii,Neotropical
Cerambycidae,Psalidognathus antonkozlovi,Psalidognathus,antonkozlovi,Neotropical
Cerambycidae,Taeniotes boliviensis,Taeniotes,boliviensis,Neotropical
Cerambycidae,Trachyderes cingulatus,Trachyderes,cingulatus,Neotropical
Cerambycidae,Trachyderes leptomerus,Trachyderes,leptomerus,Neotropical
