code,nombre_cientifico,nombre_comun,familia,subfamilia,genero,orden,region,localidad_especifica,gps,calidad,sexo,precio,size_range
BR-001,Brassolis sophorae vulpeculus,null,Brassolidae,Brassolinae,null,Lepidoptera,Argentina,null,null,A1,P,6.50,6-8.0 cm
BR-002,Brassolis sophorae vulpeculus,null,Brassolidae,Brassolinae,null,Lepidoptera,Argentina,null,null,A1,3P,18.00,6-8.0 cm
BR-003,Caligo atreus agesilaus,null,Brassolidae,Brassolinae,null,Lepidoptera,Ecuador,null,null,A1,P,25.00,12-14.0 cm
BR-004,Caligo atreus agesilaus,null,Brassolidae,Brassolinae,null,Lepidoptera,Ecuador,null,null,A1,M or F,14.00,12-14.0 cm
BR-005,Caligo atreus agesilaus,null,Brassolidae,Brassolinae,null,Lepidoptera,Ecuador,null,null,A1/A1-,M or F,0.00,12-14.0 cm
BR-006,Caligo atreus ajax,null,Brassolidae,Brassolinae,null,Lepidoptera,Colombia,null,null,A1,M or F,12.00,12-14.0 cm
BR-007,Caligo atreus ajax,null,Brassolidae,Brassolinae,null,Lepidoptera,Colombia,null,null,A1,3 M or F,33.00,12-14.0 cm
BR-008,Caligo brasiliensis sulanus,null,Brassolidae,Brassolinae,null,Lepidoptera,Costa Rica,null,null,A1,P,18.00,11-12.0 cm
BR-009,Caligo eurilochus livius,null,Brassolidae,Brassolinae,null,Lepidoptera,Peru,null,null,A1,M or F,8.75,12-13.0 cm
BR-010,Caligo eurilochus livius,null,Brassolidae,Brassolinae,null,Lepidoptera,Peru,null,null,A1,3 M or F,24.00,12-13.0 cm
BR-011,Caligo idomeneus idomenides,null,Brassolidae,Brassolinae,null,Lepidoptera,Peru,null,null,A1 OUT OF STOCK,M,0.00,11.0 cm
BR-012,Caligo idomeneus idomenides,null,Brassolidae,Brassolinae,null,Lepidoptera,Peru,null,null,A1,F,14.00,11.0 cm
BR-013,Caligo illioneus ssp?,null,Brassolidae,Brassolinae,null,Lepidoptera,Peru,"Chanchamayo, Junin",null,A1,M or F,5.00,11-12.0 cm
BR-014,Caligo illioneus ssp?,null,Brassolidae,Brassolinae,null,Lepidoptera,Peru,"Chanchamayo, Junin",null,A1,3 pcs,13.50,11-12.0 cm
BR-015,Caligo placidianus,null,Brassolidae,Brassolinae,null,Lepidoptera,Peru,null,null,A1,M,7.00,12-14.0 cm
BR-016,Caligo placidianus,null,Brassolidae,Brassolinae,null,Lepidoptera,Peru,null,null,A1,P,18.50,12-14.0 cm
BR-017,Caligo placidianus,null,Brassolidae,Brassolinae,null,Lepidoptera,Peru,null,null,A1,F,12.00,14-16.0 cm
BR-018,Caligo placidianus,null,Brassolidae,Brassolinae,null,Lepidoptera,Peru,null,null,A1,3M,18.00,12-14.0 cm
BR-019,Caligo teucer semicaerulea,null,Brassolidae,Brassolinae,null,Lepidoptera,Peru,null,null,A1,M,7.00,12.0 cm
BR-020,Caligo teucer semicaerulea,null,Brassolidae,Brassolinae,null,Lepidoptera,Peru,null,null,A1,3M,18.00,12.0 cm
BR-021,Caligo teucer semicaerulea,null,Brassolidae,Brassolinae,null,Lepidoptera,Peru,null,null,A1,P,15.00,12.0 cm
BR-022,Dynastor darius darius,null,Brassolidae,Brassolinae,null,Lepidoptera,Peru,null,null,A1/A1-,M,25.00,9-10.0 cm
BR-023,Opsiphanes bogatanus,null,Brassolidae,Brassolinae,null,Lepidoptera,Peru,null,null,A1,F,15.00,8.0 cm
BR-024,Opsiphanes cassiae rubigatus (Ecuador),null,Brassolidae,Brassolinae,null,Lepidoptera,Ecuador,null,null,A1,M,6.00,8.0 cm
BR-025,Opsiphanes cassina barkeri? (Ecuador),null,Brassolidae,Brassolinae,null,Lepidoptera,Ecuador,null,null,A1,F,7.00,7.0 cm
BR-026,Opsiphanes cassina barkeri? (Ecuador),null,Brassolidae,Brassolinae,null,Lepidoptera,Ecuador,null,null,A1,M,4.00,6-6.5 cm
BR-027,Opsiphanes cassina barkeri? (Ecuador),null,Brassolidae,Brassolinae,null,Lepidoptera,Ecuador,null,null,A1,3M,10.50,6-6.5 cm
BR-028,Opsiphanes invirae aequatorialis (Ecuador),null,Brassolidae,Brassolinae,null,Lepidoptera,Ecuador,null,null,A1,M,4.00,6-7.0 cm
BR-029,Opsiphanes invirae aequatorialis (Ecuador),null,Brassolidae,Brassolinae,null,Lepidoptera,Ecuador,null,null,A1,3M,10.50,6-7.0 cm
BR-030,Opsiphanes tamarindi incolumis(=bogatanus peruanus),null,Brassolidae,Brassolinae,null,Lepidoptera,Peru,null,null,A1,M,5.00,7.5 cm
