code,nombre_cientifico,nombre_comun,familia,subfamilia,genero,orden,region,localidad_especifica,gps,calidad,sexo,precio,size_range
BR-031,Brassolis sophorae,null,Brassolidae,Brassolinae,null,Lepidoptera,Peru,null,null,A1,M or F,0.00,null
BR-032,Caligo illioneus praxiodus,null,Brassolidae,Brassolinae,null,Lepidoptera,Peru,null,null,A1,M or F,0.00,null
BR-033,Caligo memnon,null,Brassolidae,Brassolinae,null,Lepidoptera,Peru,null,null,A1,M or F,0.00,null
BR-034,Caligo oberthuri phokylides,null,Brassolidae,Brassolinae,null,Lepidoptera,Peru,null,null,A1,M or F,0.00,null
BR-035,Caligo oileus umbratilis,null,Brassolidae,Brassolinae,null,Lepidoptera,Peru,null,null,A1,M or F,0.00,null
BR-036,Caligo prometheus atlas,null,Brassolidae,Brassolinae,null,Lepidoptera,Peru,null,null,A1,M or F,0.00,null
BR-037,Caligo prometheus prometheus,null,Brassolidae,Brassolinae,null,Lepidoptera,Peru,null,null,A1,M or F,0.00,null
BR-038,Caligo superbus superbus,null,Brassolidae,Brassolinae,null,Lepidoptera,Peru,null,null,A1,M or F,0.00,null
BR-039,Caligo telamonius memnon,null,Brassolidae,Brassolinae,null,Lepidoptera,Peru,null,null,A1,M or F,0.00,null
BR-040,Caligo suzanna zuzana,null,Brassolidae,Brassolinae,null,Lepidoptera,Peru,null,null,A1,M or F,0.00,null
BR-041,Eryphanis lycomedon,null,Brassolidae,Brassolinae,null,Lepidoptera,Peru,null,null,A1,M or F,0.00,null
BR-042,Narope sp.,null,Brassolidae,Brassolinae,null,Lepidoptera,Peru,null,null,A1,M or F,0.00,null
BR-043,Narope cyllabarus,null,Brassolidae,Brassolinae,null,Lepidoptera,Peru,null,null,A1,M or F,0.00,null
