code,scientific_name,family
BR-001,Brassolis sophorae,Brassolidae
BR-002,Caligo atreus,Brassolidae
BR-003,Caligo eurilochus livius,Brassolidae
BR-004,Caligo idomeneus,Brassolidae
BR-005,Caligo ilioneus,Brassolidae
BR-006,Caligo ilioneus oberon,Brassolidae
BR-007,Caligo ilioneus praxiodus,Brassolidae
BR-008,Caligo memnon,Brassolidae
BR-009,Caligo oberthuri phokylides,Brassolidae
BR-010,Caligo oileus umbratilis,Brassolidae
BR-011,Caligo placidianus,Brassolidae
BR-012,Caligo prometheus atlas,Brassolidae
BR-013,Caligo prometheus prometheus,Brassolidae
BR-014,Caligo superbus superbus,Brassolidae
BR-015,Caligo suzanna zuzana,Brassolidae
BR-016,Caligo teucer semicarahuela,Brassolidae
BR-017,Catoblepia berecynthia,Brassolidae
BR-018,Dynastor darius darius,Brassolidae
BR-019,Dynastor macrosirus,Brassolidae
BR-020,Eryphanes lycomedon,Brassolidae
BR-021,Narope cyllabarus,Brassolidae
BR-022,Narope sp.,Brassolidae
BR-023,Opoptera aessipe,Brassolidae
BR-024,Opoptera aorsa,Brassolidae
BR-025,Opsiphanes invirae agasthenes,Brassolidae
BR-026,Opsiphanes quiteria quirinalis,Brassolidae
BR-027,Opsiphanes sallei,Brassolidae
