code,nombre_cientifico,nombre_comun,familia,subfamilia,genero,orden,region,localidad_especifica,gps,calidad,sexo,precio,size_range
LY-001,Arawacus seperata,null,Lycaenidae,null,null,Lepidoptera,Peru,null,null,A1,M,9.50,3.0 cm
LY-002,Arawacus seperata,null,Lycaenidae,null,null,Lepidoptera,Peru,null,null,A1,3M,24.00,3.0 cm
LY-003,Arcas imperialis,null,Lycaenidae,null,null,Lepidoptera,Peru,null,null,A1,M,18.00,2.5 cm
LY-004,Arcas tuneta,null,Lycaenidae,null,null,Lepidoptera,Peru,null,null,A1,M,18.00,2.5 cm
LY-005,Arcas tuneta,null,Lycaenidae,null,null,Lepidoptera,Peru,null,null,A1,P,0.00,2.5 cm
LY-006,Eumaeus toxana,null,Lycaenidae,null,null,Lepidoptera,Peru,null,null,A1,M or F,6.00,4-5.0 cm
LY-007,Eumaeus toxea,null,Lycaenidae,null,null,Lepidoptera,Mexico,null,null,A1,3P,30.00,3-3.5 cm
LY-008,Eumaeus toxea,null,Lycaenidae,null,null,Lepidoptera,Mexico,null,null,A1,P,12.00,3-3.5 cm
LY-009,Eumaeus toxea,null,Lycaenidae,null,null,Lepidoptera,Mexico,null,null,A1,F,7.00,3-3.5 cm
LY-010,Thecla platyptera,null,Lycaenidae,null,null,Lepidoptera,Peru,null,null,A1,M,12.00,3.5 cm
