code,nombre_cientifico,nombre_comun,familia,subfamilia,genero,orden,region,localidad_especifica,gps,calidad,sexo,precio,size_range
PA-001,Battus belus varus,null,Papilionidae,null,Battus,Lepidoptera,Peru,null,null,A1,3M,9.00,8.0 cm
PA-002,Battus belus varus,null,Papilionidae,null,Battus,Lepidoptera,Peru,null,null,A1,M,8.00,8.0 cm
PA-003,Battus chalceus ingenuus (Ecuador),null,Papilionidae,null,Battus,Lepidoptera,Ecuador,null,null,A1,M,4.00,8.0 cm
PA-004,Battus chalceus ingenuus (Ecuador),null,Papilionidae,null,Battus,Lepidoptera,Ecuador,null,null,A1/A1-,M,2.50,8.0 cm
PA-005,Battus chalceus ingenuus (Ecuador),null,Papilionidae,null,Battus,Lepidoptera,Ecuador,null,null,A1,3M,10.50,8.0 cm
PA-006,Battus crassus,null,Papilionidae,null,Battus,Lepidoptera,Peru,null,null,A1,M,4.00,8-9.0 cm
PA-007,Battus crassus,null,Papilionidae,null,Battus,Lepidoptera,Peru,null,null,A1,3M,10.50,8-9.0 cm
PA-008,Battus crassus,null,Papilionidae,null,Battus,Lepidoptera,Peru,"Iquitos Region, Peru",null,A1/A1-++,F,80.00,8-9.0 cm
PA-009,Battus crassus,null,Papilionidae,null,Battus,Lepidoptera,Peru,"Iquitos Region, Peru",null,A1-,F,40.00,8-9.0 cm
PA-010,Battus crassus,null,Papilionidae,null,Battus,Lepidoptera,Peru,"Iquitos region, Peru",null,A1,F,90.00,9-10.0 cm
PA-011,Battus crassus (Brazil),null,Papilionidae,null,Battus,Lepidoptera,Brazil,null,null,A1/A1-,F,70.00,8-9.0 cm
PA-012,Battus ingenuus (C.R.),null,Papilionidae,null,Battus,Lepidoptera,Costa Rica,null,null,A1/A1-,P,45.00,8.0 cm
PA-013,Battus ingenuus (C.R.),null,Papilionidae,null,Battus,Lepidoptera,Costa Rica,null,null,"M=A1-, F=A1/A1-",P,30.00,8.0 cm
PA-014,Battus madyes chlorodamas,null,Papilionidae,null,Battus,Lepidoptera,Peru,null,null,A1,M,4.75,7.0 cm
PA-015,Battus madyes chlorodamas,null,Papilionidae,null,Battus,Lepidoptera,Peru,null,null,A1,3M,13.50,7.0 cm
PA-016,Battus madyes plinius,null,Papilionidae,null,Battus,Lepidoptera,Peru,N. Peru,null,A1,M,7.00,7.0 cm
