familia,species_name,genero,especie,locality
Saturniidae,Arsenura albopicta,Arsenura,albopicta,Neotropical
Saturniidae,Arsenura armida,Arsenura,armida,Neotropical
Saturniidae,Arsenura beebei,Arsenura,beebei,Neotropical
Saturniidae,Arsenura delormei,Arsenura,delormei,Neotropical
Saturniidae,Arsenura mossi,Arsenura,mossi,Neotropical
Saturniidae,Arsenura rebeli,Arsenura,rebeli,Neotropical
Saturniidae,Automeris amoena,Automeris,amoena,Neotropical
Saturniidae,Automeris andicola,Automeris,andicola,Neotropical
Saturniidae,Automeris annulata,Automeris,annulata,Neotropical
Saturniidae,Automeris cinctistriga,Automeris,cinctistriga,Neotropical
Saturniidae,Automeris denticulata,Automeris,denticulata,Neotropical
Saturniidae,Automeris descimoni,Automeris,descimoni,Neotropical
Saturniidae,Automeris fieldi,Automeris,fieldi,Neotropical
Saturniidae,Automeris janus,Automeris,janus,Neotropical
Saturniidae,Automeris randa,Automeris,randa,Neotropical
Saturniidae,Automeris sp.,Automeris,sp.,Neotropical
Saturniidae,Cerodirphia brunnea interrupta,Cerodirphia,brunnea interrupta,Neotropical
Saturniidae,Cerodirphia radama,Cerodirphia,radama,Neotropical
Saturniidae,Citheronia aroa,Citheronia,aroa,Neotropical
Saturniidae,Citheronia hamifera,Citheronia,hamifera,Neotropical
Saturniidae,Citheronia phoronea,Citheronia,phoronea,Neotropical
Saturniidae,Citheronia sp.,Citheronia,sp.,Neotropical
Saturniidae,Copaxa decrescens,Copaxa,decrescens,Neotropical
Saturniidae,Copaxa sp.,Copaxa,sp.,Neotropical
Saturniidae,Copaxa vanschaychi,Copaxa,vanschaychi,Neotropical
Saturniidae,Dysdaemonia boreas,Dysdaemonia,boreas,Neotropical
Saturniidae,Dysschema mosera,Dysschema,mosera,Neotropical
Saturniidae,Eacles barnesi,Eacles,barnesi,Neotropical
Saturniidae,Eacles imperialis,Eacles,imperialis,Neotropical
Saturniidae,Eacles imperialis cacicus,Eacles,imperialis cacicus,Neotropical
Saturniidae,Eacles ormondei,Eacles,ormondei,Neotropical
Saturniidae,Eacles ormondei peruviana,Eacles,ormondei peruviana,Neotropical
Saturniidae,Eacles oslari,Eacles,oslari,Neotropical
Saturniidae,Hylesia spp.,Hylesia,spp.,Neotropical
Saturniidae,Molippa malyi,Molippa,malyi,Neotropical
Saturniidae,Molippa simillima,Molippa,simillima,Neotropical
Saturniidae,Pseudodirphia andicola,Pseudodirphia,andicola,Neotropical
Saturniidae,Rachesa breteuili,Rachesa,breteuili,Neotropical
Saturniidae,Rhescyntis hermes,Rhescyntis,hermes,Neotropical
Saturniidae,Rhescyntis hippodamia colombiana,Rhescyntis,hippodamia colombiana,Neotropical
Saturniidae,Rothschildia aurota,Rothschildia,aurota,Neotropical
Saturniidae,Rothschildia erycina,Rothschildia,erycina,Neotropical
Saturniidae,Therinia buckleyi buckleyi,Therinia,buckleyi buckleyi,Neotropical
Saturniidae,Therinia sp.,Therinia,sp.,Neotropical
Saturniidae,Titaea tamerlan amazonensis,Titaea,tamerlan amazonensis,Neotropical
