familia,species_name,genero,especie,locality
Sphingidae,Adhemarius dentoni,Adhemarius,dentoni,Neotropical
Sphingidae,Adhemarius gannascus,Adhemarius,gannascus,Neotropical
Sphingidae,Adhemarius sexoculata,Adhemarius,sexoculata,Neotropical
Sphingidae,Adhemarius tigrina,Adhemarius,tigrina,Neotropical
Sphingidae,Adhemarius ypsilon,Adhemarius,ypsilon,Neotropical
Sphingidae,Aellopos titan,Aellopos,titan,Neotropical
Sphingidae,Agrius cingulata,Agrius,cingulata,Neotropical
Sphingidae,Cocytius duponchel,Cocytius,duponchel,Neotropical
Sphingidae,Enyo lugubris,Enyo,lugubris,Neotropical
Sphingidae,Erinnyis alope,Erinnyis,alope,Neotropical
Sphingidae,Erinnyis ello,Erinnyis,ello,Neotropical
Sphingidae,Eumorpha vitis,Eumorpha,vitis,Neotropical
Sphingidae,Euryglottis dognini,Euryglottis,dognini,Neotropical
Sphingidae,Eurypteryx falcata,Eurypteryx,falcata,Neotropical
Sphingidae,Hyles annei,Hyles,annei,Neotropical
Sphingidae,Isognathus swainsonii,Isognathus,swainsonii,Neotropical
Sphingidae,Madoryx plutonius dentatus,Madoryx,plutonius dentatus,Neotropical
Sphingidae,Manduca andicola,Manduca,andicola,Neotropical
Sphingidae,Manduca brontes,Manduca,brontes,Neotropical
Sphingidae,Manduca corumbensis,Manduca,corumbensis,Neotropical
Sphingidae,Manduca extrema,Manduca,extrema,Neotropical
Sphingidae,Manduca florestan,Manduca,florestan,Neotropical
Sphingidae,Manduca lichenea,Manduca,lichenea,Neotropical
Sphingidae,Manduca pellenia,Manduca,pellenia,Neotropical
Sphingidae,Manduca reducta,Manduca,reducta,Neotropical
Sphingidae,Manduca rustica rustica,Manduca,rustica rustica,Neotropical
Sphingidae,Manduca sexta,Manduca,sexta,Neotropical
Sphingidae,Manduca stuarti,Manduca,stuarti,Neotropical
Sphingidae,Nyceryx ericea,Nyceryx,ericea,Neotropical
Sphingidae,Nyceryx eximia,Nyceryx,eximia,Neotropical
Sphingidae,Nyceryx hyposticta,Nyceryx,hyposticta,Neotropical
Sphingidae,Nyceryx magna,Nyceryx,magna,Neotropical
Sphingidae,Nyceryx maxwelli,Nyceryx,maxwelli,Neotropical
Sphingidae,Nyceryx stuarti,Nyceryx,stuarti,Neotropical
Sphingidae,Nyceryx tacita,Nyceryx,tacita,Neotropical
Sphingidae,Oryba kadeni,Oryba,kadeni,Neotropical
Sphingidae,Pachylia ficus,Pachylia,ficus,Neotropical
Sphingidae,Perigonia lusca,Perigonia,lusca,Neotropical
Sphingidae,Perigonia stulta,Perigonia,stulta,Neotropical
Sphingidae,Protambulyx euryalus,Protambulyx,euryalus,Neotropical
Sphingidae,Protambulyx strigilis,Protambulyx,strigilis,Neotropical
Sphingidae,Pseudosphinx tetrio,Pseudosphinx,tetrio,Neotropical
Sphingidae,Sphinx porioni,Sphinx,porioni,Neotropical
Sphingidae,Xylophanes adalia,Xylophanes,adalia,Neotropical
Sphingidae,Xylophanes amadis,Xylophanes,amadis,Neotropical
Sphingidae,Xylophanes anubus,Xylophanes,anubus,Neotropical
Sphingidae,Xylophanes ceratomioides,Xylophanes,ceratomioides,Neotropical
Sphingidae,Xylophanes chiron,Xylophanes,chiron,Neotropical
Sphingidae,Xylophanes cosmius,Xylophanes,cosmius,Neotropical
Sphingidae,Xylophanes crotonis,Xylophanes,crotonis,Neotropical
Sphingidae,Xylophanes docilis,Xylophanes,docilis,Neotropical
Sphingidae,Xylophanes eumedon,Xylophanes,eumedon,Neotropical
Sphingidae,Xylophanes libya,Xylophanes,libya,Neotropical
Sphingidae,Xylophanes nabuchodonosor,Xylophanes,nabuchodonosor,Neotropical
Sphingidae,Xylophanes pluto,Xylophanes,pluto,Neotropical
Sphingidae,Xylophanes pyrrhus,Xylophanes,pyrrhus,Neotropical
Sphingidae,Xylophanes resta,Xylophanes,resta,Neotropical
Sphingidae,Xylophanes rhodochlora,Xylophanes,rhodochlora,Neotropical
Sphingidae,Xylophanes rothschildi,Xylophanes,rothschildi,Neotropical
Sphingidae,Xylophanes tersa,Xylophanes,tersa,Neotropical
Sphingidae,Xylophanes titana,Xylophanes,titana,Neotropical
Sphingidae,Xylophanes undata,Xylophanes,undata,Neotropical
